Received from:,Description of problem,Requires further investigation to resolve?,Sent staff to room?
MP 202,room pc isn't displaying on preview or the big screen,0,1
,"user tried hitting a few keys on the keyboard to wake it up, no dice. he says: no physical access to pc in this room 😢",0,0
BL 205,"no image, everything seems setup right",0,1
OI 5290,"""i'm not able to get my display up on the screen"" room is enabled, but i can't turn it on remotely via fusion, roomview, jr control or xpanel.",1,1
UC 152,projector not turning on,1,0
MY 440,no image. mac. ,0,1
AB 114,can't get an image up,0,0
SK 346,"""i did get somebody here to help, so i don't need your help any more""",0,0
MY 320,touchscreen is frozen,1,1
SK 218,already solved,0,0
SK 720,"getting message that ""resolution not supported"" ",0,0
BA 2159,how do i use the mic? no mic booked. she'll need one for next class.,0,0
OI 5150,can't login,0,0
OI 5150,"""how do i get my image up?""",0,0
SS 581,no sound from projector,0,0
WO 20,"""the video from the room pc is too quiet""",0,0
OI 2199,"""check the input terminal""",0,0
OI 2212,"touchscreen is frozen on ""the system is shutting down"", and i can't seem to reset it remotely",1,1
OI 5170,"""can i turn up the volume further on my video""",0,0
MP 102,already solved,0,0
MR 6,tm e crash,0,0
MY 330,two screens: #2 and #3 didn't come on. wasn't able to get the sound onto the speakers in the room,0,1
SS 1070,system not turning on. ,1,1
BA 2145,"no image, displays duplicated on pc, and both hdmi cables tried. ",0,0
SK 100,tsjr walkthrough,0,0
WB 119,no image,0,0
NL 6,"no idea how to use system, ""how to get to youtube?""",0,0
SS 2110,no image on projector,0,1
MS 3154,wanted to know how to toggle between desktop pc screen and touchscreen controls,0,0
UC 177,"""i require assistance to start the projector""",1,0
SS 1085,"""i'm trying to lower the projector""",0,0
MY 440,"""it's my first time using this teaching station""",0,0
MY 420,"wall-mounted tvs were flickering and going black, back and forth (unusable). prof is wondering how he could solve this if it shows up again next class",0,1
HS 610,"""we're good that's fine.""",0,0
MP 203,"""the main data projector doesn't seem to be projecting as instructed. someone was here just 10 minutes ago and everything was fine but now it's not displaying'",0,0
MY 320,jon testing,0,0
PB 255,login,0,0
SS 2108,re-enable,0,0
BA 1130,"walked him through getting his image up, how to lower projection screen, how to use mic",0,1
MY 380,"""podium isn't letting me in, can you log me in?""",0,0
SS 1072,"giving error message on big screen: ""resolution not supported"". i got her to try a couple of lower resolutions, but it still didn't work",1,1
HS 108,"signed up for occs, but not recording and not on our list",1,0
AH 100,already solved,0,0
SS 1070,projector not turning off,0,0
MY 380,"wireless lav not working for her. mic is unmuted on touchscreen, and she says it's giving green light on the mic pack",0,1
SS 1083,walkthrough,0,0
MY 350,no image,0,0
PB B250,looking for light switch,0,0
SK 720,no image,1,1
SS 2135,no image,0, 
BA 1160,no audio from desktop pc ,0,1
BA 2175,"didn't know how to use station. i walked him thru: logging in, selecting an input, sending it to projector.",0,0
OI G162,walk through for first time prof.,0,0
WI 524,no audio from laptop,0,0
MY 380,need another dongle.  on-site dongle doesn't seem to work,0,1
MS 3278,walk through for first timer.,0,0
BL 313,all good.  student helped out get connected,0,0
MY 320,adapter not working.  need another.,1,1
WB 219,no answer,0,0
SS 1088,called to let us know they're all done,0,1
SF 1105,wireless mouse not working,0,1
CR 403,test to re-enable system,0,0
MR 6,"call came in, but tm w operator didn't ring and only showed a highlighted and empty line in the queue.",0,0
OI 5290,internet not working.,0,0
PB 255,"tried logging into the teaching station nine times, but got ""authentication failed"". could log in fine on uoft sites on their own device.",1,0
SS 2110,projector not powered on,0,0
SK 218,no projector display,0,0
SK 346,figured it out.,0,0
OI 2279,wants to turn on the projector.,0,0
BL 538,"needs some assistance with logging on her laptop, updating slides, usb key etc.",0,1
MS 2158,wants to make sure occs is recording. sounds like a first time occs user.,0,0
BL 538,called back to say they figured it out,0,1
BL 538,assistance still needed,0,0
MY 330,resolved,0,0
HS 614,first time user wants assistance getting set up.,0,1
UC 87,resolved,0,0
OI 4414,room is too hot and going to oi 12199.,0,1
HS 108,ta wanted to know if he had log in permissions,0,0
MC 252,recording timer isn't increasing.,1,0
HS 614,stand down. resolved,0,0
OI G162,webcam link didn't work. pasting url into vlc did.,0,0
OI 5160,needs help getting the projector on.,0,0
UC 163,how to lower the projection screen.,0,0
MC 102,mouse and keyboard not working to log in,0,0
MC 102,middle screen switch wasn't working,0,0
MC 102,called back to say it worked (pressed harder),0,0
LM 123,resolved,0,0
BA 2135,room pc cursor went off screen and couldn't locate it,0,0
MR 6,"picked up a call on tm w operator, but then it disappeared because gil actually picked it up.",0,0
SS 2127,resolved,0,0
MC 252,utorid not working to log in.,0,0
OI 2214,screen is up,0,0
RW 140,how to get sound from their laptop to the room.,0,0
SS 2102,no internet on the room pc.,1,1
LM 155,"projector isn't on, but the lights on the panel are.",0,0
SS 2120,troubles getting image up on screen,0,1
MR 6,tm w operator kept ringing after picking up a call.,0,0
MY 490,send to all displays wasn't working,0,0
MY 350,laptop image isn't showing up on the preview or displays.,0,0
SF 1105,network connection currently not available,0,0
NF 003,physical keyboard doesn't work to log in.,0,0
UC 65,image from laptop not displaying,0,0
RW 142,forgot utorid password.,0,0
SS 2101,qr code shows up instead of their iphone image. unplugging and plugging in again brings the screen up again. qr code screen doesn't show up on their iphone.,0,1
WB 116,no audio from mics (podium and wireless),1,1
OI G162,missing lav mic.,0,1
(647) 221-5468 (UC A101),room is locked.,0,1
UC 65,resolved,0,0
OI G162,last instructor brought the lav mic back.,0,0
HA 410,wants to change the projector source.,0,0
UC A101,log in issues,0,1
GB 304,resolved,0,0
IN 204,no laptop image.,0,1
PB B150,needs battery,0,0
VC 323,wants assistance. first time teaching in years.,0,0
MP 202,wireless mic wasn't working,0,0
MY 370,no laptop hdmi image.,0,0
SK 720,figured out the problem.,0,0
MB 128,wireless lav not working.,0,1
SF 1105,ipad wasn't displaying,1,0
BL 112,windows laptop not displaying. windows + p to no avail,0,1
BA 2159,"getting ""resolution is not supported"".",0,1
MB 128,wanted to say the ca fixed the issue.,0,0
ES B142,projector was off,0,0
HS 106,can't log in (new instructor). walkthrough of how to use the teaching station.,0,0
ES B142,"she seems to be doing everything right: green light on mic, switch set to “mic” level, unmuted on touchscreen, even when we turn it up it’s sending no audio",0,1
HS 705,coudn't reach the pull down screen,0,1
RW 142,needed help getting image on projector,0,0
UC 161,log in request,0,0
MR 6,restart,0,0
SS 1070,"instructor wants to turn up volume on a video, but can't. laptop won't let her.",1,1
,"this room is in av issues as jr station being broken, needing remote control. so i just sent nick",0,0
WE 75,"""hello yes, i had a connection problem but it's fine now""",0,0
SF 1105,"""image is blurry"" - he's using his own device",0,1
OI 8200,trouble projecting image from mac laptop,0,1
OI 4416,trouble projecting image from mac laptop,0,1
SK 114,"no image from hdmi, jr looks like it's on in fusion but user says it isn't on in room. trying a disable & reenable",0,1
BT 101,images not sent to projector,0,0
SK 114,kyle is on it.,0,0
SS 2120,"tv turned off mid-class, doesn't seem to be turning back on remotely",0,1
SK 218,projector won't turn on.,0,0
OI 5260,heard her ask a student for help getting her desktop into extended mode. loud in room,0,0
OI 2214,projector turned off and most of the students can't connect to the wi-fi.,1,0
MC 252,room pc not showing up on the preview.,0,0
BL 205,touchscreen not responsive,0,1
LM 162,"remote wakthrough request + ""how do i record""",0,0
RL 14190,tv turned off in the middle of the class.,0,0
BL 112,weird noise coming out of external speakers,1,1
UC 65,no laptop hdmi image.,0,0
GB 119,"""do we have to log in to use the projector?""",0,0
SF 1101,"microphone cabinet won't open -> ""now it works thank you""",0,0
RW 110,complaining they had to use the admin credentials.,0,0
BA 1220,log in request,0,0
SS 2127,projector image is blinking and not centred.,0,1
MY 360B,someone wrote on the whiteboard closest to the podium with permanent marker.,0,0
SS 1073,laptop connection help,0,0
RW 110,projector issue:  image is very small,0,1
MS 3154,prof is there now and would like to test out his computer for his 7pm class,0,1
SS 1088,"getting ""check input terminal"".",0,0
OI 2212,"screen is stuck on system shutting down please wait""",0,1
AB 114,projector turned off.,0,1
GB 120,"unfamiliar with terminal. he has a windows laptop, ""vga"" output. ",0,1
HS 715,turn on the display.,0,0
BA 2135,keyboard touchpad doesn't work.,0,1
BF 315,no image,0,0
OI 2205,they can't find the usb ports,0,1
GB 248,"they would like to make the projector image adjustments ""less bright and less blurry""",1,1
SS 1071,usb-c dongle.,0,0
MC 252,resolved,0,0
SS 1071,found the correct dongle,0,0
OI 4422,crestron touch screen seems frozen.  stuck on room pc screen and touching the screen isn't doing anything.,0,1
BL 113,hdmi image has distorted colours.,1,1
MY 330,"""sorry, we were having trouble logging in, we're good now""",0,0
OI 5250,two microphones were requested by libbie mills 416-786-8780 libbie.mills@utoronto.ca,0,0
OI G162,"when checking occs stream, i noticed the webcam link wasn't working for oi g162",0,0
BA 1130,turn off projector (just muted it) so he can write on board. explained how to turn on/off touchscreens.,0,0
BL 112,says there's no power,0,0
MS 2158,projector is not showing the same slide as the user's laptop.,0,1
GB 119,needed to know how to lower screen,0,0
OI 4422,laptop hdmi only sending to 2 of the 8 screens. room pc sends to all fine.,1,1
GB 303,needed us to enable the projector,0,0
BA 1240,unsure of how to use the podium,0,0
SS 2118,podium mic isn't working.,0,0
WB 130,wanted to make sure their 18:00 lecture will be recorded because the crestron program doesn't include a mute button.,0,0
OI 2214,volume issue,0,0
UC 261,how to get macbook audio playing through the room.,0,0
WB 130,lapel mic flashing green ,0,0
MY 360B,can't get their laptop on the displays.,0,1
UC 52,projector not on.,0,0
BA 2145,laptop image wasn't showing up on the displays.,0,0
MP 202,can't find the wireless mic.,1,1
BA 2165,can't get sound on,0,1
MP 202,wondering where their mic is,0,1
WO 25,wondering where the tech is for a gear walk through,0,1
BA 1130,randomly changed to blue screen,0,1
BA 1240,wanted to know how to turn off the projector,0,0
WO 25,letting us know they're finished early and someone can come strike the gear,0,1
HS 614,enable,0,0
OI 8201,enable,0,0
OI 5290,enable,0,0
SS 1088,can't connect to station (wrong input on laptop,1,1
NF 003,no image,0,0
LM 162,batteries,0,1
MC 254,wireless mic not working,0,0
ES 4001,no display at station for connected laptop,0,1
UC 179,room pc stuck in restart mode,0,1
OI 2286,no image,0,1
OI G162,already solved,0,0
PB 255,obadiah george - keyboard issue - some buttons unresponsive,0,0
ES 4001,calling to check in ,0,0
OI 3311,video mute light won't turn off,1,0
MY 320,"no image, prof mentioned that someone brought an adapter when this problem happened on monday",0,1
OI 5260,no audio through zoom,0,0
SS 2119,monitor not turning on/needs adapter,0,1
SF 1101,microphones not sending to room,0,1
FE 135,enable,0,0
SS 2135,batteries,0,1
MB 128,projector not receiving room pc image. ,0,1
FE 33,enable,0,0
TF 101,audio not sending via hdmi ,0,0
NF 003,doesn't know how to connect to the internet,0,1
BT 101,podium mic not working,0,0
WI 1016,enable,0,0
MB 128,calling to see if tech is far away,0,0
SS 1088,no sound sending to room,0,1
SS 1086,ipad not displaying / screen not lowering,0,0
SS 1087,needed a walkthorugh on how to connect a laptop and lower screen,0,0
FE 24,"image dropped, won't return",0,1
PB B150,enable - wanted to know why her credentials fail.,1,0
SK 702,no image,0,0
GB 303,questions about proj. control and screen switches,0,0
WW 121,wanted to know where the wireless mic was,0,0
OI G162,already solved,0,0
AH 400,needs batteries,0,1
EM 001,no audio,0,0
WE 75,no image - mac/usb-c ,0,1
BA 2179,enable,0,0
SS 1088,letting me know gear can be picked up,0,0
MC 252,batteries for wireless,0,0
BR 200,couldn't find screen,0,0
SS 2108,checking in on their equipment delivery,0,0
MS 2158,enable,0,0
UC A101,no image,0,0
BL 205,"phone call - can't get an image, using linux. class is starting doesn't want support via tm",1,1
MY 490,no display,0,0
MY 490,image dropped,0,0
OI 2214,double checking assist,0,0
NL 6,doesn't know how to use touchpad on keyboard and requests a mouse,0,1
TF 200,it was a woopsie,0,0
GB 119,no image,0,0
MR 6,tm w crash,0,0
MS 4171,"can only get the projector to show on laptop, or screen, not both",0,0
PB B150,didn't know how to set up computer at station,0,0
OI 2214,asking where their assist is,0,0
SK 720,already solved,0,0
SS 2110,asking where the wireless microphone was located,0,0
RW 140,"wanted to log out, but apparently they didn't want to log out. all they wanted to do was go from room pc to laptop.",0,0
AP 120,albert giving walkthrough/testing,0,0
UC A101,"door locked - in class, but they have to prop door open",0,1
UC 140,enable and guide to wireless mic,0,0
WW 126,no volume from desktop pc,0,0
HS 610,no image,0,0
OI 4414,"""why does the wifi in this room suck?""",1,0
UC 140,audio not sending to room,0,0
BA 1130,preview screen just went black,0,1
BA B025,enabled,0,0
SS 1069,no volume on mic,0,0
MS 3153,calling for assistance,0,0
SS 2116,laptop not sending to display,0,1
CR 403,man needs dongle ,0,1
SF 1105,needs chalk,0,0
BA 1130,can you bring a cable that will attach my ipad to my macbook pro,0,1
UC 52,teaching station locked.,0,0
WW 121,ts walkthrough,0,0
BA 1130,wonder if i managed to contact someone re: help,0,0
SS 2102,marc testing,0,0
WI 1017,didn't know how to get special characters logging in/ts walkthrough,0,0
ES 1050,login request,0,0
PB B250,batteries,0,0
SK 100,login request,0,0
BA 1180,"trying to read presentation from his memory stick onto the room pc. his laptop died, apparently, and i'm having trouble getting him to understand how to control the room pc. he can't find the mouse, and i can't tell whether it's physically there or not.",0,1
BA 1160,"can't find w/l mic, usb ports not working, desktop pc not connected to internet. didn't want support through talkmaster",0,1
OI 2295,wanted to know where screen switch was,0,0
SS 2116,"monitor not turning on, unable to do it remotely",0,1
SS 1070,asking for login,0,0
GB 220,how to turn on the podium mic?,0,0
OI 8180,was confused by tsjr instructions on website because her laptop doesn't have ethernet.,0,0
OI 5170,phone call - no network connection,0,0
BA B024,prof asking for james,0,1
BA 2195,"!st time in room, can you walk me through start-up?",0,0
SS 2119,problems projecting,0,1
SS 1084,wanted to know how to raise screen,0,0
RL 14190,monitor not coming on. unable to control remotely,0,1
WW 120,keyboard missing,0,1
SS 2127,hmdi broken.,0,1
KP 108,"no sound from any source, source volume not on mute",0,1
MC 102,no answer,0,0
PHONE,someone phoned regarding jr station software - installation on software failed.,0,0
CR 103,already solved,0,0
SS 1086,no display from laptop on big screen,0,1
SS 2110 ,already solved,0,0
MY 380,"source volume is extremely loud in room, and still plays even when muted",1,1
PB B250,projector screen won't display room pc,0,0
NF 003,"""i arrived 25 minutes late and need someone to set me up""",0,0
BA 2179,wanted to connect her tablet,0,1
HA 410,already solved,0,0
OI 5160,tsjr not turning on,0,1
HS 715,asking where tech is for assist,0,0
SS 2106,projector not displaying,0,0
FE 24,"first time using, couldn't find power button",0,0
MY 420,mouse has fallen into podium,0,1
SS 1080,please turn on display,0,0
NF 003,following up on tech support,0,0
GB 303,enable,0,0
AB 107,didn't know how to lower screen,0,0
SS 2114,macbook air unable to connect to podium,0,1
HA 403,call from 612-512-2333. needs help with remote,1,1
BA 2175,cannot log into station. podium screen black,0,1
SK 100,"no image. everything seems setup correctly, and had him restart mac.",0,1
UC 244,enable,0,0
MP 137,"no audio from device. getting an image, source audio on full, and laptop audio set to crestron",0,1
OI 5150,enable,0,0
UC 261,no image displayed on screen. tried troubleshooting,0,1
NL 6,no internet on desktop pc,0,0
ES 1050,getting him set up in room ,0,0
AH 100,already solved,0,0
NF 003,3rd call regarding tech support,0,0
PB 255,no source audio,0,0
OI G162,"mic not turning on, can't find button",0,0
GB 304,no image,0,0
HA 410,"""i can't get the projector going""",0,0
OI 7192,no image,0,0
BL 112,already solved,0,0
SS 1088,"prof has no idea what inputs her computer has, only that none of the ones at the podium fit",0,1
UC 52,screen not displaying,0,0
MS 2158,needs batteries for lav,0,1
SS 1070,no image,0,1
MY 360b,enable,0,0
OI G162,needs battery for mic,0,1
MP 202,can't find the light switch,0,1
LM 159,projector pointing to the ceiling.,0,1
MS 3278,can't log in even though they have the correct password.,0,0
HS 705,"""there's no projector, it's a screen!""",0,0
HS 705,no display on the projector,0,0
SS 1085,didn't know how to log in,0,0
UC 161,touch screen unresponsive ,0,0
SS 1087,no image,0,0
SK 548,projector not displaying,0,0
MS 3153,no image/unfamiliar w the system in room,0,0
NL 6,couldn't open microphone cabinet,0,0
BL 112,cannot connect laptop to projector,1,1
SS 2110,wanted to know how to get a tech2u pc for this room,0,0
UC 244,wrong image up on screen,0,1
WE 74,iphone didn't connect to podium,1,0
WE 74,laptop displaying the wrong screen,0,0
OI 2211,laptop not displaying,0,0
HA 410,could not connect to podium,0,0
FE 135 ,"calling about fe 139 - intercom not working, no audio",0,1
CR 406,needs tsjr walkthrough,0,0
OI 2211,no audio,0,1
EM 119,didn't know how to get started,0,0
MS 3278,needs a walkthrough,0,1
BL 205,called through the telephone: utorid won't work,0,0
HS 610,lav mic not sending to room?,0,1
BA 1180,no image,0,0
BA 2135,enable,0,0
UC 161,already solved,0,0
BF 214,no source displayed,0,0
WW 126,"""i can't access the projector please come""",0,0
BA 2159,someone with questions on how to book recordings,0,0
OI G162,ts froze while logging in,0,0
UC 87,projector not displaying,0,0
SK 100,image is too small? (doesn't fill up screen),0,1
MY 330,login,0,0
BA 1230,didn't  know how to get screen down,0,0
SS 1069,wanted info on how to sign up for occs,0,0
MY 490,wanted help getting station turned on,0,0
BA 1200,no audio from desktop pc,0,0
MY 490,needed help opening the cabinet,1,1
MC 254,log in issue ,0,0
WO 25,needed help switching sources,0,0
BA 1160,sound suddenly stopped,0,1
MP 118,matt testing intercom,0,0
OI 5170,couldn't find screen switch,0,0
MS 2158,batteries,0,1
BA B024,requesting to speak w james,0,1
MY 350,login/need access to cupboard,0,1
MY 150,needed help w audio,0,0
BA 1130,crestron must have restarted and ts was taking a long time to boot up,0,0
WO 20,couldn't get usb to load,0,0
 ,login,0,0
LM 159,wanted us to know they were given the wrong batteries for the mic and does not wants this to be fixed for next week,1,0
MY 350,various projection issues,0,1
BA B024,wanted to get logged back in to open the mic cabinet,0,0
WW 120,says their projector keeps turning on and off,1,1
SS 2127,noticed intercom was unplugged,0,1
SS 2127,amy buzzing in to test intercom - it's fixed now,0,0
BA 1220,"big screen saying ""check the input terminal"", can't figure out how to get image up. ",0,0
BT 101,bader theatre screen not projecting,0,0
BA 2195,help with projector,0,0
BF 323,"""i didn't mean to press the button, but i'm having trouble logging in. i don't know how to login.""",0,0
BA 1170,"first time in room, need assistance getting started",0,0
MY 360b,"""none of the sources are working on the touchscreen - they're greyed out so i can't select them""",1,0
WB 116,"""the mouse or keyboard are not connected to the computer"" - mouse for room pc not working - he says power is turned on",0,1
OI 5170,needed temp pasword for wifi network,0,0
BA 2179,ipad image not displaying,0,1
CR 403,"""the projector isn't working""",0,0
UC 67,requested a mic and camera for 9:15,1,1
HS 696, ,0,0
WW 121,needed help getting started,0,0
SS 1080,"""pressing display on but not image on screen""",0,0
BA 2195,ipad not displaying on screen,0,1
WI 1016,battery request for wless lav,0,0
UC 144,"""the projector turned off and i can't get it back on. i think it went to sleep - there was nothing plugged into it for 20 mins""",0,0
LM 155,"""loud staticky noise from speakers""",1,1
ES 4001,wanted to record the lecture,0,0
MY 490,the preview screen is black; student displays are showing image distorted (smaller and in centre of screen) ,1,1
MY 360b,thee sources are greyed out,0,0
GB 304,"""second monitor is in black. power is on""",0,1
AB 107,"he wants to turn off display, but buttons aren't working",0,1
BA 1190,"room pc not sending audio to room, even though everything is set correctly on the touchscreen. got him to try changing pc sound settings, but it was already set to ""crestron""",0,1
BA 2139,projector isn't turning on,0,1
CR 406,"""everything is good now""",0,0
BA 2165,"instructor having trouble getting her image up from windows laptop. everything looks right on the touchscreen, and we tried both hdmi inputs. room pc sends to big screen properly.",1,1
MY 317,he unplugged his laptop and plugged it back in (?) and now theres no picture. control link not working,0,0
MS 2172,"""i can't login, the keyboard is being unresponsive""",0,0
PB 255,"instructor hasn't used pb 255 before, helped him get going.",1,0
GB 119,utorid wasn't working for him,0,0
LM 161,can you log me in please?,0,0
GB 221,resolved,0,0
BA B026,he wants the lights up but it's seems dimmed.,0,1
BA 2139,"in the middle of class, instructor lost image from her macbook and big screen became covered in ""static"" all over, ""like an old tv."" ",0,0
BT 101,"instructor says that room pc image will go up on big screen, but not hdmi source.  he's already tried both hdmi connections, restarting.",0,1
BR 200,needs help with doc cam and mic,0,1
OI 5150,network not available,0,0
BT 101,"""no point in coming; class starting in 1 min""",0,0
ES B149,alex testing fixed intercom,0,0
OI 5170,"""the projector is showing someone else's screen""",0,0
GB 221,having network troubles with their windows laptop.  tried to supply the qq code but no password prompt. ,0,0
ES B149,marc testing the intercom,0,0
WB 119,screen not working,0,0
WB 119,"""hdmi is not working""",0,0
BA 1240,ipad not connecting,0,0
BA 1210,student group booking reference number: 62337924,0,0
MY 430,"""hi my utorid isn't working to log me in, can you log me in please?""",0,0
SF 2202,audio wasn't going through hdmi.  ,0,0
BA 1220,"""can you send someone, i can't login and i can't turn on the projector""",0,0
MS 2172,"getting ""no login network available"".",0,0
BA 1240,(c) booking login with booking.,0,0
BA 2175,(c) booking login with booking.,0,0
SK 548,power on station,0,0
OI 5240,enable station,0,0
UC 163,missed call (doing strike at oi),0,0
BA 2195,missed call (doing strike at oi),0,0
BA 2195 ,after hours call.  ,0,0
MY 350,enable,0,0
MY 420,enable,0,0
AH 400,after hours call,0,0
OI 8280,adapter missing,0,0
BA 2139,login,0,0
BT 101,calling to check if we're going to be monitoring his recording. only recorded audio last week,0,0
MP 102,front projector won't turn off,0,1
BA 2135,"""thanks it wasn't working, but now it is""",0,0
BA 1200,login,0,0
GB 244,"no image, doesn't look like projector is turning on",0,1
OI 5170,"her ipad not projecting, but room pc works. tried unplugging & replugging at 180-degree angle, switching to other inputs, no success. asked her to try restarting her ipad while she waits.",0,1
UC 161,no audio desktop pc,0,1
FE 24,audio from speaker is very very faint,1,1
HS 108,no image ,0,0
LM 155,no image,0,0
RW 110,projector not turning on,0,0
ES B149,ta requesting login,0,0
WB 130,"""there's no hdmi cable in here, just the empty port""",0,0
OI 2211,"can't get image up, he's on a macbook, hdmi is selected, mirroring is set to ""on"", says big screen is black",1,1
BL 313,no image,0,0
BL 325,"""the teaching station isn't coming on""",0,0
LM 155,image dropped,1,1
OI 8220,"""can you please turn on projector"". looks at my end like it's on, but probably went to sleep.",0,0
MB 128,batteries,0,1
SS 2135,"""we're all good thank you""",0,0
SS 2125,alredy solved,0,0
BA B026,"says no image on big screen. i tried disabling & reenabling the dockp, but he says the projector still isn't on",0,1
,"non-native english speaker, i think there may be a bit of a communication barrier.",0,0
MR 6,tm e crash,0,0
CH,fixed already,0,0
LM 155,image dropped again,0,1
UC 248,"""i'm pressing the power button and the screen isn't coming on""",0,0
LM 155,image dropped again,1,1
MP 203,"no spare batteries, and running low - not urgent",0,0
BF 315,"""i'm not getting a signal""",1,0
BA 2159,wanted light switch turned off,0,0
SS 2111,no image - qgeem+ mac?,0,1
OI 2205,"class done, but audio in room really quiet",0,1
